StageAreaKeyT ,transaction_id,product_id,customer_id,transaction_date ,online_order,order_status,brand,product_line ,product_class,product_size ,list_price ,standard_cost,product_first_sold_date
1,1,2,2950,2017-02-25,FALSE,Approved,Giant Bicycles,Road,low,small,590.25999999999999,525.33000000000004,2010-11-05
2,2,3,3120,2017-05-21,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.4699999999998,388.92000000000002,2012-09-15
3,3,37,402,2017-10-16,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.4300000000001,248.81999999999999,1999-07-20
4,4,88,3135,2017-08-31,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.9200000000001,1479.1099999999999,1993-07-15
5,5,78,787,2017-01-10,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48000000000002,2004-07-25
6,6,25,2339,2017-08-03,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
7,7,22,1542,2017-04-21,TRUE,Approved,Solex,Standard,medium,medium,575.26999999999998,431.44999999999999,1996-04-05
8,8,15,2459,2017-07-15,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74000000000001,748.89999999999998,2005-12-07
9,9,67,1305,2017-10-08,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.04999999999995,376.83999999999997,2005-10-22
10,10,12,3262,2017-08-30,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.1500000000001,161.59999999999999,2010-05-05
11,11,5,1986,2017-01-17,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.1300000000001,677.48000000000002,2005-08-09
12,12,61,2783,2017-05-01,TRUE,Approved,OHM Cycles,Standard,low,medium,71.159999999999997,56.93,2012-05-18
13,13,35,1243,2017-02-26,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2008-03-19
14,14,16,2717,2017-10-09,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.9200000000001,1479.1099999999999,2010-05-05
15,15,12,247,2017-11-06,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.1500000000001,161.59999999999999,2010-05-05
16,16,3,2961,2017-10-10,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.4699999999998,388.92000000000002,2012-09-15
17,17,79,2426,2017-03-04,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.5799999999999,818.00999999999999,2003-09-09
18,18,33,1842,2017-02-06,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.4400000000001,1167.1800000000001,1992-10-11
19,19,54,2268,2017-06-04,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.8399999999999,13.44,2015-10-18
20,20,25,3002,2017-01-28,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
21,21,27,1582,2017-09-10,FALSE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40000000000001,2010-06-07
22,22,37,595,2017-06-29,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.4300000000001,248.81999999999999,1999-07-20
23,23,37,2001,2017-08-04,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.4300000000001,248.81999999999999,1999-07-20
24,24,82,515,2017-10-18,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.6400000000001,689.17999999999995,2005-05-10
25,25,89,2822,2017-11-06,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.740000000000002,2016-07-09
26,26,64,2596,2017-10-01,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.3599999999999,1759.8499999999999,2011-08-24
27,27,64,2666,2017-11-04,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.3599999999999,1759.8499999999999,2011-08-24
28,28,19,76,2017-12-23,FALSE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08
29,29,72,3368,2017-10-13,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.51999999999998,141.40000000000001,2015-10-18
30,30,91,1173,2017-03-15,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,1999-07-26
31,31,88,2810,2017-05-09,TRUE,Approved,Norco Bicycles,Standard,high,small,1661.9200000000001,1479.1099999999999,1993-07-15
32,32,1,3214,2017-02-18,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82000000000005,2012-09-15
33,33,25,1272,2017-03-20,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.64999999999998,1993-05-26
34,34,99,2003,2017-02-28,TRUE,Approved,OHM Cycles,Standard,medium,medium,1227.3399999999999,770.88999999999999,1994-08-10
35,35,0,2171,2017-08-20,FALSE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
36,36,92,3356,2017-07-07,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.3599999999999,2002-10-10
37,37,14,1040,2017-09-01,FALSE,Approved,Solex,Standard,high,large,1842.9200000000001,1105.75,1995-10-24
38,38,2,2916,2017-06-12,FALSE,Approved,Giant Bicycles,Road,low,small,590.25999999999999,525.33000000000004,2010-11-05
39,39,12,427,2017-12-09,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.1500000000001,161.59999999999999,2010-05-05
40,40,0,2448,2017-11-28,TRUE,Approved,Solex,Standard,medium,medium,100.34999999999999,75.260000000000005,2004-01-16
41,41,44,2570,2017-08-05,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.6400000000001,108.76000000000001,2011-05-09
